id,PosNeg,Class
1454233858338010000,Neg,Calculation
1454228992416870000,Neg,Confidence
1454226315280710000,Neg,Confidence
1454216195922480000,Pos,Constraints
1454210929239880000,Pos,Complacency
1454208722356490000,Pos,Confidence
1454183136204490000,Neg,Confidence
1454143751232760000,Pos,Responsibility
1454094769634740000,Pos,Complacency
1454065020686400000,Pos,Complacency
1454046140387620000,Pos,Responsibility
1454025714932460000,Neg,Confidence
1453979551592100000,Neg,Confidence
1453963514062660000,Pos,Calculation
1453960900516270000,Pos,Calculation
1453934223530720000,Pos,Responsibility
1453933198002370000,Pos,Responsibility
1453856092501400000,Pos,Calculation
1453815155494580000,Pos,Responsibility
1453750361911560000,Neg,Confidence
1453700293363840000,Neg,Confidence
1453680063140870000,Pos,Complacency
1453666483578350000,Pos,Responsibility
1453656347602420000,Pos,Responsibility
1453603383617540000,Pos,Responsibility
1453592478418820000,Neg,Confidence
1453570041203460000,Pos,Confidence
1453513582558130000,Pos,Complacency
1453505482665030000,Neg,Confidence
1453481131370680000,Neg,Constraints
1453474935242850000,Pos,Responsibility
1453453926800320000,Pos,Responsibility
1453374936823650000,Neg,Confidence
1453320163655250000,Pos,Complacency
1453311211408270000,Pos,Constraints
1453292503659130000,Pos,Confidence
1453265681559040000,Pos,Calculation
1453251893753430000,Pos,Responsibility
1453233331286560000,Pos,Responsibility
1453226600665910000,Pos,Responsibility
1453225506963340000,Neg,Complacency
1453225113525030000,Pos,Confidence
1453221444331210000,Neg,Confidence
1453205305387470000,Neg,Confidence
1453192346401600000,Neg,Confidence
1453180867472340000,Pos,Confidence
1453171906601890000,Pos,Confidence
1453162016617630000,Neg,Complacency
1453148690961420000,Pos,Responsibility
1453146153118170000,Neg,Calculation
1453124688444420000,Pos,Responsibility
1453113679814090000,Pos,Calculation
1453079734343000000,Neg,Confidence
1452991674980970000,Pos,Calculation
1452955757738020000,Pos,Confidence
1452904404101710000,Pos,Confidence
1452900560038850000,Pos,Responsibility
1452881017883160000,Pos,Calculation
1452853335036340000,Neg,Confidence
1452845663008420000,Pos,Confidence
1452796748552800000,Neg,Confidence
1452768505967770000,Pos,Confidence
1452741184493740000,Neg,Confidence
1452733449974910000,Pos,Responsibility
1452727394771480000,Pos,Responsibility
1452726970270190000,Pos,Calculation
1452721151738660000,Pos,Calculation
1452627595279820000,Pos,Calculation
1452513974923120000,Neg,Constraints
1452511295975000000,Pos,Responsibility
1452486990721540000,Pos,Confidence
1452480880455280000,Neg,Complacency
1452472484104580000,Pos,Confidence
1452470987514160000,Pos,Responsibility
1452463072581350000,Pos,Confidence
1452440034909450000,Neg,Complacency
1452440030614460000,Pos,Complacency
1452418268115840000,Pos,Confidence
1452417831304180000,Neg,Complacency
1452379509320070000,Pos,Confidence
1452366264727310000,Pos,Responsibility
1452362939835440000,Pos,Responsibility
1452303697606750000,Neg,Confidence
1452281149770820000,Pos,Confidence
1452264078701960000,Neg,Confidence
1452214937066130000,Pos,Confidence
1452214146934710000,Pos,Responsibility
1452203318428760000,Neg,Confidence
1452189863344730000,Pos,Responsibility
1452184879995750000,Pos,Confidence
1452178877468440000,Pos,Confidence
1452156802334740000,Neg,Complacency
1452130620621020000,Neg,Confidence
1452122796859930000,Pos,Responsibility
1452122621038910000,Pos,Confidence
1452098006505840000,Pos,Confidence
1452085669661050000,Pos,Confidence
1452079087812420000,Neg,Confidence
1452073960443500000,Pos,Responsibility
1452065846222730000,Pos,Responsibility
1452047999106870000,Pos,Responsibility
1452047031531230000,Pos,Responsibility
1452029072146530000,Pos,Confidence
1451929032149270000,Pos,Constraints
1451916035783740000,Neg,Confidence
1451857390555460000,Neg,Confidence
1451841365915030000,Pos,Responsibility
1451771148258070000,Pos,Confidence
1451755252525390000,Pos,Confidence
1451754203982880000,Neg,Confidence
1451748722413500000,Pos,Confidence
1451743565785160000,Neg,Confidence
1451740571584720000,Neg,Confidence
1451718835975830000,Pos,Responsibility
1451696869445300000,Neg,Confidence
1451696661651090000,Neg,Confidence
1451696293013690000,Neg,Confidence
1451696227913890000,Neg,Confidence
1451695495944930000,Neg,Confidence
1451694855248170000,Neg,Confidence
1451694468524960000,Neg,Confidence
1451694072775640000,Neg,Confidence
1451693957700660000,Neg,Confidence
1451693737130690000,Neg,Confidence
1451693068357230000,Neg,Confidence
1451692698516140000,Neg,Confidence
1451692561354010000,Neg,Confidence
1451690946513430000,Neg,Confidence
1451690828070490000,Neg,Confidence
1451690668208700000,Neg,Confidence
1451690440227380000,Neg,Confidence
1451689676008390000,Neg,Confidence
1451689461499130000,Neg,Confidence
1451689386215540000,Neg,Confidence
1451689172549310000,Neg,Confidence
1451688907913920000,Neg,Confidence
1451688696793730000,Neg,Confidence
1451688605433290000,Neg,Confidence
1451688454954250000,Neg,Confidence
1451688069124420000,Neg,Confidence
1451687664906760000,Neg,Confidence
1451687384391710000,Neg,Confidence
1451687259153990000,Neg,Confidence
1451687063464510000,Neg,Confidence
1451686906702350000,Neg,Confidence
1451686632747190000,Neg,Confidence
1451686342971160000,Neg,Confidence
1451686121650330000,Neg,Confidence
1451669517503890000,Pos,Responsibility
1451653686556380000,Neg,Calculation
1451622785575370000,Pos,Confidence
1451603088393970000,Neg,Confidence
1451574167417980000,Pos,Confidence
1451546338194180000,Neg,Confidence
1451544282754540000,Pos,Calculation
1451537216845410000,Pos,Responsibility
1451501404724410000,Pos,Confidence
1451500379888220000,Pos,Responsibility
1451494836779900000,Neg,Complacency
1451482611168070000,Pos,Confidence
1451480796301200000,Pos,Confidence
1451445732582420000,Pos,Confidence
1451440263134540000,Pos,Calculation
1451433894864060000,Pos,Confidence
1451401975967330000,Pos,Confidence
1451399832728310000,Pos,Confidence
1451391215065120000,Pos,Responsibility
1451376278074830000,Pos,Responsibility
1451371744711750000,Neg,Confidence
1451353861231310000,Pos,Confidence
1451352491627400000,Pos,Confidence
1451351940906970000,Pos,Confidence
1451303002849950000,Pos,Calculation
1451300651007290000,Pos,Constraints
1451295658577570000,Pos,Constraints
1451284597480710000,Pos,Constraints
1451273822376650000,Pos,Responsibility
1451272772454280000,Pos,Confidence
1451259392809040000,Pos,Confidence
1451207323922300000,Pos,Confidence
1451171072808680000,Neg,Complacency
1451165061540490000,Pos,Confidence
1451164959988080000,Neg,Confidence
1451153075884800000,Pos,Confidence
1451152540645520000,Pos,Responsibility
1451149881406410000,Pos,Confidence
1451139651280900000,Pos,Confidence
1451135164659100000,Pos,Confidence
1451133630382700000,Pos,Responsibility
1451108285319310000,Pos,Constraints
1451085702662260000,Pos,Responsibility
1451084737045430000,Pos,Responsibility
1451070950850520000,Pos,Confidence
1451064804030890000,Pos,Responsibility
1451042980794560000,Pos,Confidence
1451023960800300000,Neg,Confidence
1451017070682930000,Pos,Responsibility
1450995129104280000,Pos,Responsibility
1450989474901540000,Pos,Confidence
1450988235614610000,Pos,Confidence
1450987455490910000,Pos,Confidence
1450985890818380000,Neg,Confidence
1450985500366430000,Neg,Responsibility
1450983011869020000,Pos,Constraints
1450973211080810000,Pos,Confidence
1450972559780890000,Pos,Confidence
1450969494973660000,Pos,Confidence
1450938912147340000,Pos,Confidence
1450923974641140000,Neg,Confidence
1450918156722080000,Pos,Complacency
1450912799081700000,Pos,Calculation
1450912163036470000,Pos,Responsibility
1450829901037110000,Pos,Confidence
1450811109070430000,Pos,Calculation
1450804678275460000,Neg,Confidence
1450800124410540000,Pos,Constraints
1450793273337860000,Neg,Confidence
1450789972852700000,Neg,Confidence
1450785249277860000,Pos,Responsibility
1450777485075830000,Pos,Confidence
1450777095890600000,Neg,Confidence
1450775878967820000,Pos,Confidence
1450775459998800000,Pos,Confidence
1450772227813560000,Neg,Confidence
1450767540313930000,Neg,Confidence
1450760670069190000,Neg,Complacency
1450759283470040000,Neg,Confidence
1450759001340210000,Neg,Confidence
1450755831968840000,Pos,Responsibility
1450751270591950000,Pos,Confidence
1450751227357120000,Pos,Confidence
1450750572966010000,Neg,Calculation
1450749437387500000,Neg,Confidence
1450747898195430000,Pos,Responsibility
1450745279490120000,Pos,Confidence
1450721064477060000,Neg,Calculation
1450720181332800000,Pos,Responsibility
1450717940433620000,Pos,Responsibility
1450717463629340000,Pos,Confidence
1450707204244260000,Pos,Confidence
1450701525211220000,Pos,Confidence
1450692661355040000,Pos,Confidence
1450687357938590000,Neg,Confidence
1450679825451170000,Pos,Confidence
1450676391238720000,Pos,Calculation
1450674777266400000,Pos,Confidence
1450667996414760000,Pos,Confidence
1450648417512800000,Pos,Confidence
1450645674383470000,Pos,Confidence
1450645078561600000,Neg,Confidence
1450628846579900000,Pos,Constraints
1450604030573480000,Neg,Confidence
1450590429838130000,Pos,Responsibility
1450573905077220000,Pos,Calculation
1450563609835090000,Pos,Responsibility
1450560490334130000,Neg,Calculation
1450553784636100000,Pos,Confidence
1450542321515170000,Pos,Responsibility
1450540265035350000,Pos,Responsibility
1450508839720150000,Neg,Confidence
1450456498199530000,Neg,Complacency
1450415058496880000,Pos,Complacency
1450395535693680000,Pos,Confidence
1450393235864510000,Pos,Responsibility
1450370683737830000,Neg,Confidence
1450365379180510000,Neg,Confidence
1450357965119110000,Pos,Confidence
1450351307374560000,Neg,Confidence
1450350963030510000,Pos,Complacency
1450349062700420000,Neg,Confidence
1450348052435250000,Neg,Confidence
1450346875660290000,Neg,Confidence
1450346701709970000,Neg,Confidence
1450304314438600000,Pos,Responsibility
1450269918415380000,Pos,Confidence
1450266763334060000,Pos,Responsibility
1450264718703090000,Neg,Confidence
1450263730046980000,Pos,Confidence
1450259445083090000,Pos,Confidence
1450254065745610000,Neg,Confidence
1450252076965970000,Pos,Constraints
1450248112652440000,Pos,Calculation
1450244214202130000,Pos,Constraints
1450235975934750000,Pos,Confidence
1450228320201700000,Neg,Confidence
1450195609319660000,Pos,Confidence
1450182363263080000,Pos,Confidence
1450160038853550000,Pos,Responsibility
1450086713464810000,Pos,Responsibility
1450073348227040000,Neg,Confidence
1450053481155280000,Pos,Responsibility
1450028114055020000,Pos,Calculation
1450013419004820000,Pos,Complacency
1449996647908310000,Pos,Confidence
1449981095227710000,Pos,Responsibility
1449972038135800000,Pos,Confidence
1449966476832630000,Pos,Responsibility
1449965652001770000,Pos,Complacency
1449965468979130000,Pos,Confidence
1449953042237820000,Pos,Calculation
1449941825146390000,Pos,Responsibility
1449934169820120000,Pos,Responsibility
1449932163730710000,Pos,Responsibility
1449926933320330000,Pos,Confidence
1449919448614270000,Pos,Responsibility
1449900507162490000,Pos,Confidence
1449880221671300000,Pos,Constraints
1449874702378290000,Pos,Responsibility
1449853356420190000,Neg,Complacency
1449694992834830000,Pos,Confidence
1449688049357500000,Pos,Responsibility
1449681910809200000,Pos,Calculation
1449678153316660000,Pos,Responsibility
1449672982540930000,Pos,Confidence
1449661385273650000,Neg,Complacency
1449648100625190000,Pos,Confidence
1449626898418470000,Neg,Confidence
1449593765484630000,Pos,Confidence
1449579276370530000,Pos,Responsibility
1449551586364060000,Neg,Confidence
1449547942327580000,Neg,Confidence
1449526994534740000,Pos,Responsibility
1449514371147710000,Neg,Complacency
1449513021684910000,Pos,Responsibility
1449483783237890000,Pos,Responsibility
1449420624695200000,Pos,Constraints
1449393121758900000,Pos,Responsibility
1449345864317550000,Pos,Constraints
1449341812276030000,Neg,Confidence
1449335687170310000,Neg,Complacency
1449333813465650000,Pos,Confidence
1449324688899900000,Neg,Confidence
1449314776274760000,Neg,Calculation
1449305541386240000,Pos,Confidence
1449256872821720000,Pos,Responsibility
1449225402031870000,Pos,Confidence
1449214766371650000,Neg,Constraints
1449208265108160000,Pos,Confidence
1449171643666820000,Neg,Constraints
1449167284782560000,Neg,Constraints
1449156092554980000,Pos,Confidence
1449154437730090000,Pos,Confidence
1449149842354150000,Pos,Confidence
1449145542617880000,Pos,Constraints
1449142862096970000,Pos,Calculation
1449133718044430000,Pos,Constraints
1449129558704200000,Pos,Constraints
1449083735559650000,Neg,Constraints
1449082918534400000,Neg,Confidence
1449021142769880000,Neg,Confidence
1448982522679870000,Pos,Responsibility
1448974592484120000,Pos,Responsibility
1448944680033340000,Neg,Constraints
1448942169591400000,Pos,Confidence
1448934500033960000,Pos,Responsibility
1448927899227080000,Pos,Confidence
1448924468361890000,Pos,Confidence
1448916131322870000,Pos,Confidence
1448908558481840000,Pos,Confidence
1448897499809200000,Pos,Responsibility
1448890468234780000,Pos,Calculation
1448872427077830000,Pos,Responsibility
1448859610924790000,Neg,Constraints
1448846872576020000,Pos,Responsibility
1448827912367440000,Neg,Constraints
1448824863477540000,Pos,Constraints
1448800908414910000,Pos,Constraints
1448759512333100000,Pos,Confidence
1448747897567140000,Pos,Responsibility
1448742832001340000,Neg,Confidence
1448739469872410000,Pos,Calculation
1448609058894660000,Neg,Confidence
1448592658251710000,Pos,Confidence
1448583360180140000,Neg,Constraints
1448565030660630000,Pos,Calculation
1448548811001920000,Pos,Responsibility
1448539006677830000,Pos,Confidence
1448496672011530000,Pos,Confidence
1448478985923410000,Pos,Constraints
1448461116410000000,Pos,Confidence
1448453239448370000,Neg,Confidence
1448449022105030000,Neg,Confidence
1448434108208600000,Pos,Confidence
1448430396513730000,Pos,Responsibility
1448418320546290000,Neg,Constraints
1448414781791030000,Pos,Constraints
1448386967159200000,Pos,Constraints
1448234973362670000,Pos,Responsibility
1448154429073460000,Pos,Confidence
1448150110433460000,Neg,Confidence
1448140662918890000,Pos,Responsibility
1448103277418130000,Neg,Confidence
1448059198634260000,Neg,Confidence
1448057892678950000,Neg,Confidence
1448056363863530000,Pos,Confidence
1448035513982540000,Pos,Constraints
1447860796889830000,Pos,Confidence
1447784180935310000,Pos,Constraints
1447724072901620000,Pos,Constraints
1447716964768510000,Pos,Responsibility
1447696437312060000,Pos,Constraints
1447693396194180000,Pos,Responsibility
1447686987352140000,Pos,Confidence
1447684175482410000,Neg,Constraints
1447679333447840000,Pos,Responsibility
1447667863053950000,Pos,Confidence
1447497309206420000,Pos,Confidence
1447436808254410000,Neg,Constraints
1447415422916070000,Neg,Constraints
1447363862181790000,Pos,Confidence
1447361049749960000,Pos,Confidence
1447349178229660000,Pos,Constraints
1447323749183670000,Pos,Confidence
1447301936957430000,Neg,Confidence
1447300495681350000,Pos,Constraints
1447214223478570000,Neg,Confidence
1447153205398280000,Neg,Constraints
1447142084931040000,Neg,Confidence
1447136079606210000,Pos,Responsibility
1447127425528170000,Pos,Confidence
1447104078660580000,Neg,Constraints
1447016693113380000,Pos,Responsibility
1447005535170010000,Pos,Confidence
1446974599137080000,Neg,Constraints
1446949283807170000,Pos,Confidence
1446942938215240000,Pos,Confidence
1446925762838150000,Pos,Confidence
1446759309140900000,Neg,Constraints
1446739725293730000,Pos,Confidence
1446699870715210000,Neg,Constraints
1446630622336740000,Pos,Constraints
1446629649983830000,Neg,Confidence
1446623695640820000,Neg,Confidence
1446618395433050000,Pos,Responsibility
1446610240762370000,Neg,Confidence
1446593149153930000,Pos,Confidence
1446588084565330000,Pos,Constraints
1446579675841510000,Pos,Confidence
1446574397624490000,Pos,Constraints
1446453028135910000,Pos,Confidence
1446415360488390000,Pos,Constraints
1446384868749800000,Pos,Constraints
1446341141863870000,Pos,Constraints
1446306756888440000,Neg,Confidence
1446244111166500000,Pos,Confidence
1446237492609360000,Pos,Responsibility
1446230549891200000,Neg,Constraints
1446189744900080000,Pos,Constraints
1446097074445950000,Neg,Constraints
1446065386416330000,Neg,Constraints
1446025271325330000,Pos,Constraints
1446016082335040000,Pos,Responsibility
1446008303385900000,Neg,Confidence
1445988321025340000,Pos,Responsibility
1445984558155840000,Neg,Confidence
1445948419554490000,Pos,Confidence
1445931718829960000,Neg,Confidence
1445927746094260000,Pos,Confidence
1445910501318260000,Pos,Confidence
1445816791322670000,Pos,Confidence
1445786555734380000,Pos,Responsibility
1445776653683010000,Pos,Constraints
1445704924554130000,Neg,Confidence
1445687584512900000,Neg,Confidence
1445677101026190000,Neg,Constraints
1445615940062740000,Pos,Confidence
1445612411302460000,Pos,Calculation
1445570190431830000,Pos,Constraints
1445543137640770000,Pos,Responsibility
1445540293357420000,Pos,Confidence
1445497888830740000,Neg,Confidence
1445379171002290000,Pos,Confidence
1445360299859530000,Pos,Confidence
1445316289174510000,Neg,Confidence
1445298676591590000,Neg,Confidence
1445275739478060000,Pos,Calculation
1445259802859350000,Pos,Responsibility
1445236546676800000,Pos,Confidence
1445228184752900000,Neg,Constraints
1445195204126850000,Neg,Confidence
1445191271283240000,Neg,Confidence
1445149201105500000,Pos,Responsibility
1445025051640690000,Pos,Confidence
1444999592852950000,Neg,Complacency
1444959815021720000,Pos,Constraints
1444933556556360000,Pos,Constraints
1444913623516600000,Neg,Confidence
1444913254833130000,Neg,Confidence
1444907061788090000,Pos,Responsibility
1444900255909100000,Pos,Constraints
1444889830198960000,Neg,Confidence
1444888413321100000,Neg,Confidence
1444881781396690000,Neg,Confidence
1444880560556360000,Neg,Confidence
1444873660481690000,Neg,Confidence
1444873595000280000,Neg,Confidence
1444873505460280000,Neg,Confidence
1444873434635260000,Neg,Confidence
1444873255009990000,Neg,Confidence
1444873174206740000,Neg,Confidence
1444872939006950000,Neg,Confidence
1444872867095600000,Neg,Confidence
1444872111953090000,Neg,Confidence
1444859950375650000,Pos,Confidence
1444796713160490000,Neg,Constraints
1444770308754330000,Pos,Confidence
1444676523827420000,Pos,Confidence
1444627433152380000,Pos,Confidence
1444621915373530000,Pos,Constraints
1444594177417700000,Pos,Confidence
1444582568670620000,Neg,Constraints
1444572013448670000,Pos,Confidence
1444564769436950000,Neg,Constraints
1444556801169500000,Neg,Constraints
1444502409888160000,Pos,Confidence
1444487494527970000,Pos,Confidence
1444466775882480000,Pos,Confidence
1444455298756850000,Pos,Confidence
1444450833572100000,Pos,Confidence
1444436289424480000,Pos,Confidence
1444421703623270000,Pos,Constraints
1444418196656700000,Pos,Constraints
1444188241830100000,Pos,Confidence
1444159003727070000,Pos,Confidence
1444151980050410000,Neg,Constraints
1444144472812510000,Pos,Confidence
1444114385358630000,Pos,Confidence
1444080589028480000,Pos,Responsibility
1444067916341600000,Neg,Confidence
1444050057435630000,Neg,Confidence
1443968632694790000,Pos,Confidence
1443929322021030000,Pos,Responsibility
1443915433803860000,Pos,Confidence
1443905888859730000,Pos,Constraints
1443894214765400000,Pos,Calculation
1443890266121790000,Neg,Confidence
1443854286786480000,Neg,Calculation
1443823170713050000,Pos,Confidence
1443818336513500000,Neg,Constraints
1443759674281450000,Pos,Constraints
1443756849866570000,Neg,Constraints
1443746983970100000,Pos,Responsibility
1443738190913830000,Pos,Responsibility
1443691867334340000,Pos,Responsibility
1443644349548400000,Neg,Constraints
1443541961240050000,Pos,Constraints
1443535522119380000,Neg,Constraints
1443530057759130000,Neg,Constraints
1443520545538980000,Neg,Constraints
1443477145469140000,Neg,Constraints
1443359155364900000,Neg,Constraints
1443354689270000000,Pos,Responsibility
1443351322787400000,Neg,Constraints
1443344058034780000,Pos,Responsibility
1443330058316240000,Pos,Confidence
1443310709056490000,Pos,Confidence
1443206930109890000,Neg,Constraints
1443159855234100000,Pos,Confidence
1443138119914590000,Neg,Confidence
1443129903113580000,Neg,Calculation
1443119202055830000,Neg,Constraints
1443050030449840000,Pos,Responsibility
1443035763776500000,Pos,Responsibility
1443028416320600000,Neg,Constraints
1443024658727530000,Pos,Confidence
1443006910915960000,Neg,Constraints
1443001661962600000,Neg,Constraints
1442997160748850000,Pos,Constraints
1442821091769010000,Pos,Responsibility
1442800472872470000,Neg,Constraints
1442765780785840000,Pos,Constraints
1442755543118980000,Pos,Confidence
1442713655796060000,Pos,Confidence
1442659097921290000,Pos,Responsibility
1442642739737160000,Pos,Responsibility
1442639020362650000,Pos,Constraints
1442623726831290000,Neg,Constraints
1442472897801450000,Neg,Constraints
1442466588783870000,Pos,Calculation
1442464509474400000,Neg,Confidence
1442375555274330000,Pos,Confidence
1442373737177700000,Pos,Confidence
1442313795506810000,Neg,Constraints
1442301819275800000,Neg,Constraints
1442274239076200000,Pos,Confidence
1442255600872680000,Neg,Constraints
1442241525337910000,Pos,Confidence
1442088412152880000,Neg,Confidence
1442005048452510000,Pos,Confidence
1442000740164120000,Neg,Constraints
1441996080342650000,Pos,Confidence
1441992928402890000,Pos,Confidence
1441938241075040000,Pos,Constraints
1441882984651520000,Neg,Constraints
